Region,TownSize,Gender,Age,EducationYears,JobCategory,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,X,LoanDefault,MaritalStatus,HouseholdSize,NumberPets,NumberCats,NumberDogs,NumberBirds,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,TotalOverTenure,TotalByTenure,TotalLastMonth,TotalServices,TotalDevices,LastMonthGroup,CardSpendGroup,TenureGroup,segment,CustomerValue,probValue,ValueGroup,kmeans_segment
2,1,Male,33,20,Professional,No,3,No,98000,24.4,5.786704,18.125296,NA,Yes,Unmarried,1,5,2,0,0,0,1,Own,Foreign," $ 60,200.00 ",28,No,No,AMEX,15,10,5273.6,No,65,55.349999999999994,1210.3,Yes,38.949999999999996,2577.9500000000003,Yes,Yes,35.449999999999996,2215.4,Yes,Yes,No,2,No,No,No,No,Yes,20,Yes,Yes,Yes,Yes,Yes,6003.65,92.36384615384615,129.74999999999997,4,5,High,High,Long,8,High,0.003810188771715141,Low,2
5,5,Female,26,15,Professional,Yes,1,No,30000,31.7,1.86396,7.64604,NA,Yes,Married,3,4,0,0,0,1,3,Own,Foreign," $ 17,900.00 ",31,No,No,Mast,8,13,3099,No,25,26.55,233.5,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,25,No,Yes,Yes,Yes,No,233.5,9.34,26.55,4,4,Low,Low,Short,1,Low,0.9979923673164983,High,1
2,3,Female,37,11,Service,No,12,No,57000,22.1,7.318857,5.278143,NA,Yes,Unmarried,1,2,1,1,0,1,4,Own,Domestic," $ 30,900.00 ",30,No,Yes,Mast,19,8,1551.4,Yes,63,42,966.75,No,0,0,Yes,No,0,0,Yes,No,No,4,No,No,No,No,No,20,Yes,Yes,No,No,Yes,966.75,15.345238095238095,42,1,3,Low,Low,Long,2,Low,0.8918395710596299,High,2
4,1,Male,61,14,Sales,No,5,No,28000,13.5,1.00548,2.77452,NA,No,Married,2,0,0,0,0,1,1,Own,Foreign," $ 12,400.00 ",13,Yes,Yes,AMEX,2,11,2732.5,No,5,9.3,14.7,Yes,38.15,162.35000000000002,Yes,Yes,36.65,133.35000000000002,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No,310.40000000000003,62.080000000000005,84.1,9,6,High,Low,Short,5,Low,0.9950809348246435,High,1
4,4,Male,75,15,Sales,No,13,No,63000,11.4,3.432996,3.749004,NA,No,Unmarried,1,2,2,0,0,0,1,Own,Foreign," $ 27,100.00 ",24,Yes,Yes,AMEX,34,11,8727.9,No,60,89.25,1750.1499999999999,No,0,0,Yes,No,0,0,Yes,No,No,Yes,No,No,No,No,No,18,Yes,Yes,No,No,No,1750.1499999999999,29.169166666666666,89.25,2,3,High,High,Long,8,High,0.007653419653325325,Low,3
3,2,Male,46,12,Sales,No,2,No,53000,7.1,0.778941,2.984059,NA,No,Unmarried,1,0,0,0,0,1,3,Own,Foreign," $ 20,900.00 ",20,No,Yes,Disc,1,12,1770,Yes,3,10.65,9.9,Yes,22.7,51.449999999999996,Yes,No,0,0,No,No,No,2,No,No,No,No,Yes,19,Yes,Yes,No,No,No,61.349999999999994,20.45,33.35,1,3,Low,Low,Short,1,Low,0.9998866309250258,High,1
1,2,Male,36,14,Sales,No,2,No,29000,11.9,1.708245,1.742755,NA,Yes,Unmarried,1,0,0,0,0,1,4,Lease,Domestic," $ 12,300.00 ",30,No,Yes,Visa,2,12,1154.7,No,9,4.6499999999999995,13.05,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,15,No,No,No,No,No,13.05,1.4500000000000002,4.6499999999999995,4,1,Low,Low,Short,1,Low,0.9999718756410618,High,1
3,2,Female,51,16,Sales,Yes,10,No,56000,6.9,0.571872,3.292128,NA,No,Unmarried,1,2,2,0,0,0,3,Own,Domestic," $ 27,300.00 ",15,No,No,Mast,12,7,4505,No,27,19.05,166.75,No,0,0,Yes,No,0,0,No,No,No,No,Yes,No,No,No,No,19,Yes,No,Yes,No,No,166.75,6.175925925925926,19.05,1,3,Low,Low,Short,1,Low,0.9960443497433004,High,1
5,5,Male,55,20,Professional,Yes,10,No,208000,14.1,9.208992,20.119008,NA,Yes,Married,3,1,1,0,0,1,6,Own,Foreign," $ 77,900.00 ",33,No,Yes,Disc,13,10,4709.5,No,19,26.4,165.25,Yes,29.6,521.1,Yes,No,0,0,Yes,No,No,3,No,No,No,No,Yes,14,Yes,No,Yes,No,Yes,686.35,36.123684210526314,56,2,3,Low,Low,Short,1,Low,0.9842963899820028,High,1
5,5,Male,58,13,Sales,No,6,Yes,15000,14.2,0.44091,1.68909,NA,No,Married,4,0,0,0,0,0,3,Own,Domestic," $ 8,000.00 ",26,Yes,No,Visa,15,8,1924.9,No,46,29.1,448.05,Yes,33.449999999999996,1450.2,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,19,No,No,No,No,Yes,1898.25,41.266304347826086,62.55,2,1,Low,Low,Long,2,Low,0.9278575115964339,High,2
2,2,Female,38,16,Professional,Yes,5,No,55000,5.9,0.405625,2.839375,NA,No,Married,4,1,1,0,0,1,0,-1,-1," $ (1,000.00)",20,No,No,Disc,1,7,2087.3,No,5,7.05,16.05,Yes,50.449999999999996,179.95000000000002,Yes,Yes,47.65,178.6,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,No,374.6,74.92,105.14999999999999,9,6,High,Low,Short,5,Low,0.98901107160678,High,1
3,4,Male,40,18,Professional,Yes,3,No,101000,2.1,0.752955,1.368045,NA,No,Unmarried,1,5,2,0,1,0,1,Own,Foreign," $ 48,700.00 ",20,No,Yes,Visa,21,7,3417.9,No,48,32.1,489.7,Yes,64.3,3006.3,Yes,Yes,101,4682.75,Yes,Yes,Yes,4,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,8178.75,170.390625,197.4,8,6,High,Low,Long,6,High,0.001603345845771078,Low,2
3,4,Male,26,14,Sales,Yes,1,No,19000,4.1,0.317053,0.461947,NA,Yes,Unmarried,1,2,1,0,0,0,2,Own,Domestic," $ 10,100.00 ",33,No,No,AMEX,4,7,1994.2,Yes,12,12.6,45.349999999999994,Yes,32.4,342.95,No,Yes,20.2,226.45000000000002,Yes,No,Yes,4,Yes,No,No,No,Yes,13,Yes,Yes,Yes,No,No,614.75,51.229166666666664,65.2,5,5,Low,Low,Short,1,Low,0.9977703738865907,High,1
1,1,Male,21,13,Service,Yes,1,No,19000,10.3,1.082221,0.874779,NA,Yes,Unmarried,1,4,2,0,0,1,0,-1,-1," $ (1,000.00)",11,No,Yes,AMEX,3,7,2243.3,No,14,28.2,116.8,Yes,35.8,463.6,Yes,Yes,27.7,362.45,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,24,Yes,Yes,No,Yes,No,942.8499999999999,67.34642857142856,91.7,8,5,High,Low,Short,5,Low,0.9850566751560705,High,1
3,4,Male,19,14,Sales,No,0,No,32000,11.6,2.464768,1.247232,NA,Yes,Married,4,1,1,0,0,1,0,-1,-1," $ (1,000.00)",26,No,Yes,Disc,1,11,3685.2,No,16,22.95,106.25,Yes,22.55,324.5,No,No,0,0,Yes,No,No,Yes,No,No,No,No,No,15,Yes,No,No,No,No,430.75,26.921875,45.5,3,2,Low,Low,Short,1,Low,0.9967605255555989,High,1
1,1,Male,32,15,Service,No,5,No,19000,21.1,0.697566,3.311434,NA,Yes,Married,2,12,0,0,0,1,2,Own,Foreign," $ 8,800.00 ",11,No,No,AMEX,14,15,4749.6,No,45,43.949999999999996,711.55,No,0,0,No,No,0,0,No,No,No,No,Yes,No,No,Yes,Yes,26,No,Yes,No,No,No,711.55,15.812222222222221,43.949999999999996,2,2,Low,Low,Long,2,Low,0.8749701241258819,High,1
5,4,Female,42,17,Professional,No,11,No,78000,10.9,0.926718,7.575282,NA,No,Unmarried,1,10,0,2,0,0,6,Own,Foreign," $ 49,800.00 ",23,No,No,Disc,9,15,3183.3,Yes,20,24.6,200.65,Yes,37.949999999999996,749.75,No,No,0,0,Yes,Yes,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,No,No,950.4,47.519999999999996,62.55,3,4,Low,Low,Short,1,Low,0.9902346032979413,High,1
3,4,Female,55,18,Labor,No,16,No,91000,25.6,3.401216,19.894784,NA,No,Unmarried,1,4,0,0,0,1,2,Own,Domestic," $ 27,300.00 ",30,Yes,Yes,AMEX,30,10,3144.4,No,63,87.75,1925.05,No,0,0,Yes,Yes,87.85,5516.95,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20,Yes,No,No,Yes,Yes,7442,118.12698412698413,175.6,8,4,High,Low,Long,6,High,0.0012931844322945428,Low,2
5,2,Male,59,11,Service,No,26,No,78000,9.2,2.97804,4.19796,NA,No,Married,4,0,0,0,0,1,2,Own,Foreign," $ 46,700.00 ",22,Yes,Yes,Mast,40,6,1689.4,Yes,72,263.7,6307.4,No,0,0,Yes,No,0,0,Yes,No,No,3,Yes,Yes,Yes,Yes,No,21,Yes,No,Yes,No,Yes,6307.4,87.60277777777777,263.7,5,3,High,Low,Long,6,High,7.3325774858793975e-6,Low,2
3,3,Female,25,18,Labor,No,1,No,45000,6.6,1.37214,1.59786,NA,Yes,Married,8,6,2,0,0,1,2,Own,Foreign," $ 24,800.00 ",36,No,Yes,AMEX,8,10,4056.2,No,9,24.3,82.5,Yes,29.55,195.85000000000002,No,No,0,0,No,No,No,4,No,No,No,No,Yes,24,Yes,Yes,No,No,No,278.35,30.92777777777778,53.85,1,3,Low,Low,Short,1,Low,0.9969221537300509,High,1
2,3,Male,57,14,Service,No,25,No,293000,20.8,10.908976,50.035024,NA,No,Married,4,6,0,0,0,1,1,Own,Domestic," $ 96,600.00 ",24,Yes,No,Disc,39,13,9902.3,Yes,72,129.3,3031.9,No,0,0,Yes,No,0,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,22,Yes,No,No,No,Yes,3031.9,42.109722222222224,129.3,7,2,High,High,Long,8,High,9.547465485421702e-5,Low,3
2,1,Female,47,13,Sales,No,4,No,29000,15,1.0962,3.2538,NA,No,Married,2,5,0,0,0,0,4,Own,Foreign," $ 15,300.00 ",15,Yes,No,AMEX,29,12,2505.7,No,60,46.8,914.25,No,0,0,Yes,No,0,0,No,No,No,Yes,No,No,No,No,No,27,Yes,No,No,No,Yes,914.25,15.2375,46.8,1,2,Low,Low,Long,2,Low,0.8256160558863573,High,2
5,5,Female,28,16,Professional,No,2,No,25000,8.9,0.162425,2.062575,NA,No,Married,3,0,0,0,0,0,3,Own,Domestic," $ 10,000.00 ",31,No,Yes,AMEX,2,8,3070.7,No,4,9.75,15.4,Yes,25.05,80.75,No,No,0,0,No,No,No,4,No,No,No,No,No,23,Yes,Yes,Yes,No,No,96.15,24.0375,34.8,1,4,Low,Low,Short,1,Low,0.9996850973313687,High,1
5,3,Female,61,14,Service,No,20,No,61000,9.9,2.216313,3.822687,NA,No,Unmarried,1,5,0,0,0,1,2,Own,Domestic," $ 35,400.00 ",27,No,Yes,Visa,22,6,1398.4,No,29,31.05,254.85000000000002,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,No,20,Yes,Yes,Yes,No,No,254.85000000000002,8.78793103448276,31.05,1,4,Low,Low,Short,1,Low,0.9986265070908875,High,1
5,3,Female,48,17,Agriculture,No,7,No,94000,7,1.65816,4.92184,NA,No,Married,4,5,1,0,0,1,2,Own,Domestic," $ 28,600.00 ",28,Yes,Yes,Disc,18,11,4454.2,No,38,41.7,560.05,No,0,0,Yes,No,0,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,14,Yes,No,Yes,No,No,560.05,14.73815789473684,41.7,6,3,Low,Low,Short,1,Low,0.9541524382328562,High,1
5,3,Male,46,12,Sales,No,4,No,37000,2.2,0.234432,0.579568,NA,No,Married,2,4,0,1,0,1,2,Own,Domestic," $ 13,400.00 ",25,No,Yes,Visa,13,9,2175.1,No,33,31.5,341.9,No,0,0,No,No,0,0,No,No,No,No,Yes,No,Yes,No,No,20,Yes,No,No,No,No,341.9,10.36060606060606,31.5,2,2,Low,Low,Short,1,Low,0.996416881914823,High,1
5,5,Female,35,16,Sales,No,0,No,38000,5.2,0.725192,1.250808,NA,No,Married,2,0,0,0,0,1,0,-1,-1," $ (1,000.00)",21,No,Yes,Visa,5,9,1575.4,Yes,7,22.35,52.1,No,0,0,No,No,0,0,No,No,No,No,Yes,No,Yes,No,No,22,No,No,No,No,No,52.1,7.442857142857143,22.35,2,1,Low,Low,Short,1,Low,0.999917731761106,High,1
4,2,Female,52,13,Sales,No,2,No,27000,10.8,1.227636,1.688364,NA,No,Married,2,4,0,0,0,1,2,Own,Domestic," $ 12,700.00 ",27,Yes,Yes,AMEX,13,12,4611,No,32,24.6,255.4,Yes,33.7,1034.1499999999999,No,No,0,0,No,No,Yes,3,Yes,No,Yes,Yes,No,21,Yes,Yes,No,No,No,1289.55,40.2984375,58.300000000000004,5,4,Low,Low,Short,1,Low,0.9330564678308728,High,1
5,5,Male,67,14,Agriculture,No,17,No,57000,8.6,0.916674,3.985326,NA,No,Unmarried,1,1,0,0,0,1,0,-1,-1," $ (1,000.00)",38,No,Yes,AMEX,35,6,3528.1,No,70,87.6,2082.7,No,0,0,Yes,No,0,0,Yes,No,No,2,No,No,No,No,Yes,20,Yes,Yes,No,No,Yes,2082.7,29.752857142857142,87.6,1,3,High,Low,Long,6,High,0.07155022389174892,Low,2
2,2,Male,29,17,Crafts,No,1,No,24000,1.9,0.191064,0.264936,NA,Yes,Married,2,11,0,1,0,0,4,Own,Domestic," $ 10,700.00 ",21,No,Yes,Visa,11,11,4268.6,No,36,40.949999999999996,488.95,Yes,35.2,1231.5,No,Yes,34.849999999999994,1288,Yes,Yes,No,2,Yes,Yes,Yes,Yes,Yes,18,Yes,Yes,Yes,No,Yes,3008.45,83.56805555555555,111,8,4,High,Low,Short,5,Low,0.344413363989549,Low,2
1,2,Female,49,16,Professional,No,11,No,44000,5.2,0.533104,1.754896,NA,No,Unmarried,1,6,0,2,0,0,2,Own,Domestic," $ 24,000.00 ",29,No,No,Visa,3,4,927.7,No,7,22.05,50.949999999999996,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,20,No,No,No,No,No,50.949999999999996,7.278571428571428,22.05,4,1,Low,Low,Short,1,Low,0.9999464542352288,High,1
3,1,Male,41,19,Professional,No,3,No,95000,21.1,3.92882,16.11618,NA,Yes,Unmarried,2,3,0,0,0,1,1,Own,Foreign," $ 49,500.00 ",18,Yes,Yes,Disc,1,8,2655.4,Yes,1,2.7,0.9,Yes,18.9,18.9,No,No,0,0,No,No,No,No,No,Yes,No,No,No,16,No,No,Yes,No,No,19.799999999999997,19.799999999999997,21.599999999999998,2,2,Low,Low,Short,1,Low,0.9999191687504856,High,1
1,1,Male,66,18,Sales,No,4,No,32000,10,0.2048,2.9952,NA,No,Married,2,1,0,0,0,1,3,Own,Foreign," $ 19,400.00 ",21,No,No,Disc,25,9,2051,No,54,47.25,925.05,No,0,0,Yes,No,0,0,No,No,No,No,No,No,Yes,No,No,27,No,No,No,No,Yes,925.05,17.130555555555556,47.25,1,1,Low,Low,Long,2,Low,0.9226808027758872,High,2
2,4,Female,19,14,Professional,Yes,0,No,17000,4.9,0.620585,0.212415,NA,No,Unmarried,3,12,0,1,0,1,2,Lease,Foreign," $ 9,200.00 ",24,No,No,Visa,2,13,4014.1,Yes,2,15.75,11.25,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,20,No,No,No,No,No,11.25,5.625,15.75,0,1,Low,Low,Short,1,Low,0.9998474047259462,High,1
5,4,Male,44,14,Sales,No,6,No,32000,10.5,1.1256,2.2344,NA,No,Unmarried,1,0,0,0,0,0,1,Own,Domestic," $ 13,000.00 ",21,Yes,No,AMEX,10,7,2105.1,Yes,22,39.6,270.2,Yes,38.25,818.3,Yes,Yes,42.75,922.8499999999999,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,No,29,Yes,Yes,Yes,No,No,2011.35,91.425,120.6,9,5,High,Low,Short,5,Low,0.8480235233256072,High,1
4,1,Male,52,16,Crafts,No,18,No,41000,23.8,4.381342,5.376658,NA,No,Unmarried,1,9,1,0,0,1,3,Own,Foreign," $ 12,300.00 ",18,No,No,Disc,8,11,2285,Yes,26,28.650000000000002,238.95000000000002,Yes,35.349999999999994,831.3,Yes,Yes,28.55,684.6,No,Yes,Yes,2,No,Yes,No,No,No,27,Yes,Yes,No,Yes,No,1754.85,67.49423076923077,92.55,5,5,High,Low,Short,5,Low,0.9421379900658037,High,1
2,3,Female,50,16,Crafts,No,20,No,207000,2,1.5111,2.6289,NA,No,Unmarried,1,9,0,0,0,1,2,Own,Domestic," $ 75,900.00 ",29,No,No,Mast,26,10,5309.3,Yes,46,25.650000000000002,432.6,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,24,No,No,No,No,No,432.6,9.404347826086957,25.650000000000002,4,1,Low,High,Long,4,High,0.9269177452514566,High,1
5,3,Female,61,13,Labor,No,36,No,339000,5.1,5.290434,11.998566,NA,No,Unmarried,1,0,0,0,0,0,3,Own,Foreign," $ 86,000.00 ",26,No,No,Visa,39,11,3441.6,Yes,72,120.3,2843.8,No,0,0,Yes,No,0,0,Yes,No,No,3,No,No,Yes,Yes,No,18,Yes,No,Yes,No,Yes,2843.8,39.49722222222223,120.3,3,3,High,Low,Long,6,High,0.009715199098023557,Low,2
1,3,Female,71,15,Sales,No,12,No,59000,7.9,1.002115,3.658885,NA,No,Married,2,0,0,0,0,1,5,Own,Foreign," $ 30,400.00 ",32,No,Yes,AMEX,40,15,3188.2,Yes,72,153.15,3658.8,No,0,0,Yes,No,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,18,No,No,No,No,Yes,3658.8,50.81666666666667,153.15,4,1,High,Low,Long,6,High,0.00171337902311702,Low,2
2,5,Female,79,15,Labor,No,33,Yes,11000,8.2,0.060434,0.841566,NA,No,Unmarried,1,4,0,0,0,1,2,Lease,Foreign," $ 6,800.00 ",32,No,No,Visa,34,7,990.1,Yes,68,57,1361.35,No,0,0,Yes,No,0,0,No,No,No,Yes,No,No,No,No,No,22,Yes,No,No,No,Yes,1361.35,20.01985294117647,57,1,2,Low,Low,Long,2,Low,0.7400249560763172,High,2
5,1,Female,41,17,Sales,No,3,No,24000,4.1,0.245016,0.738984,NA,No,Married,2,2,0,2,0,1,0,-1,-1," $ (1,000.00)",16,No,Yes,Visa,23,17,2968.4,No,65,39,860.4,Yes,45.05,2917.6,Yes,Yes,48.3,3100.3500000000004,No,Yes,Yes,3,No,Yes,No,Yes,No,17,Yes,Yes,Yes,No,Yes,6878.35,105.82076923076923,132.35,6,5,High,Low,Long,6,High,0.014058585882487283,Low,2
1,2,Female,39,14,Labor,No,9,No,145000,2.7,1.984905,1.930095,NA,No,Married,2,0,0,0,0,1,2,Own,Domestic," $ 73,500.00 ",19,No,Yes,Disc,16,11,3563.8,No,30,71.7,685.7,No,0,0,No,No,0,0,No,No,No,Yes,No,No,No,No,Yes,18,Yes,No,No,No,No,685.7,22.85666666666667,71.7,1,2,High,Low,Short,5,Low,0.9395977533921721,High,1
1,5,Female,50,19,Labor,No,14,No,60000,9.1,2.0202,3.4398,NA,No,Unmarried,1,6,0,1,0,1,3,Own,Domestic," $ 31,600.00 ",26,Yes,Yes,Mast,32,11,3619.9,Yes,62,88.64999999999999,1788.6,Yes,47.8,2943.15,Yes,Yes,55.65,3486.4500000000003,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,30,Yes,Yes,Yes,Yes,Yes,8218.2,132.55161290322582,192.1,9,6,High,Low,Long,6,High,4.102790451758496e-4,Low,2
2,4,Male,57,12,Sales,No,7,No,25000,7.3,0.5475,1.2775,NA,No,Unmarried,1,7,0,0,0,0,2,Lease,Domestic," $ 9,900.00 ",27,No,No,Visa,10,6,1719.9,No,24,12.6,90.25,No,0,0,No,No,0,0,No,No,No,No,No,No,No,No,No,22,No,No,No,No,No,90.25,3.7604166666666665,12.6,0,1,Low,Low,Short,1,Low,0.999666381472569,High,1
1,4,Male,63,18,Professional,No,19,No,91000,12.7,5.940298,5.616702,NA,No,Married,2,3,1,2,0,0,1,Own,Domestic," $ 61,000.00 ",19,Yes,Yes,AMEX,35,6,4498.5,No,64,106.2,2326.9500000000003,Yes,54.949999999999996,3481.05,Yes,Yes,47.8,2941.15,Yes,Yes,Yes,4,Yes,No,Yes,Yes,Yes,13,Yes,Yes,Yes,No,No,8749.15,136.70546875,208.95,8,5,High,Low,Long,6,High,7.087230282910833e-5,Low,2
1,2,Female,55,17,Crafts,No,15,No,54000,4.3,0.805734,1.516266,NA,No,Unmarried,1,5,2,0,0,1,4,Own,Domestic," $ 29,200.00 ",24,No,Yes,Disc,33,13,2888.8,No,68,50.1,1231.5,No,0,0,Yes,No,0,0,Yes,No,No,3,No,No,No,No,Yes,21,Yes,Yes,No,No,Yes,1231.5,18.110294117647058,50.1,1,3,Low,Low,Long,2,Low,0.5592511662540319,High,2
2,4,Male,72,14,Professional,No,14,No,50000,9.4,2.1573,2.5427,NA,No,Married,2,0,0,0,0,0,2,Lease,Domestic," $ 23,500.00 ",34,No,Yes,Visa,36,13,2475.9,No,70,82.95,1965.75,No,0,0,Yes,No,0,0,Yes,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes,1965.75,28.082142857142856,82.95,1,1,High,Low,Long,6,High,0.16464123561734564,Low,2
2,1,Male,57,12,Professional,No,19,No,96000,5.8,1.575744,3.992256,NA,No,Unmarried,1,1,1,0,0,1,2,Own,Foreign," $ 50,500.00 ",13,Yes,No,Disc,39,8,2186.5,Yes,72,72.3,1758.85,No,0,0,Yes,Yes,46.7,3235.15,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,22,No,No,No,Yes,Yes,4994,69.36111111111111,119,8,3,High,Low,Long,6,High,0.022968303946748137,Low,2
1,1,Male,74,18,Labor,No,29,Yes,66000,18.1,7.669332,4.276668,NA,No,Unmarried,1,0,0,0,0,0,3,Own,Domestic," $ 30,700.00 ",26,No,No,Disc,18,14,3051.7,Yes,40,32.25,449.75,Yes,34.349999999999994,1328.25,Yes,Yes,36.8,1379.25,Yes,Yes,No,3,Yes,Yes,Yes,Yes,Yes,14,Yes,No,No,No,No,3157.25,78.93125,103.39999999999999,8,2,High,Low,Short,5,Low,0.5325304061936893,High,2
1,2,Female,69,14,Professional,No,25,No,105000,4.9,1.672125,3.472875,NA,No,Married,4,12,2,0,0,0,3,Own,Domestic," $ 71,800.00 ",23,No,Yes,Disc,34,10,2052.8,No,67,128.4,2969.3500000000004,Yes,45.25,3080.8,Yes,No,0,0,Yes,No,Yes,3,No,No,No,No,Yes,19,Yes,Yes,Yes,No,Yes,6050.1500000000005,90.30074626865672,173.65,3,5,High,Low,Long,6,High,0.0018649761815217139,Low,2
5,5,Female,37,21,Sales,No,2,No,147000,12.5,11.72325,6.65175,NA,Yes,Unmarried,1,5,0,0,0,1,3,Own,Foreign," $ 82,800.00 ",21,No,Yes,Mast,2,9,1837.2,No,8,17.25,55.4,Yes,42.8,314.4,Yes,Yes,29,194.1,No,Yes,Yes,4,Yes,Yes,No,Yes,Yes,17,Yes,Yes,Yes,Yes,No,563.9,70.4875,89.05,7,6,High,Low,Short,5,Low,0.9948403229377932,High,1
5,2,Female,28,18,Crafts,Yes,3,No,39000,3.7,0.748917,0.694083,NA,Yes,Married,6,2,2,0,0,0,0,-1,-1," $ (1,000.00)",26,No,Yes,AMEX,3,9,4196.4,No,4,16.35,16.650000000000002,Yes,47.449999999999996,176.05,Yes,Yes,39.3,119.25,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,17,Yes,Yes,Yes,Yes,No,311.95000000000005,77.98750000000001,103.1,9,6,High,Low,Short,5,Low,0.9672961126789728,High,1
1,1,Female,35,15,Sales,No,3,No,53000,17.7,1.369626,8.011374,NA,No,Married,3,9,0,1,0,1,3,Own,Domestic," $ 23,800.00 ",15,Yes,No,Visa,11,10,2123.7,Yes,11,7.35,16.8,Yes,31.45,286.65000000000003,No,No,0,0,Yes,Yes,No,3,No,No,No,No,Yes,15,Yes,No,No,No,No,303.45000000000005,27.58636363636364,38.8,3,2,Low,Low,Short,1,Low,0.9995298834166901,High,1
5,5,Female,68,15,Service,No,23,No,144000,2.5,1.908,1.692,NA,No,Married,2,1,1,0,0,1,2,Own,Foreign," $ 79,200.00 ",34,No,No,AMEX,40,8,11171.5,Yes,72,223.35000000000002,5474.25,No,0,0,Yes,No,0,0,Yes,No,No,3,No,No,No,No,No,22,Yes,Yes,No,No,Yes,5474.25,76.03125,223.35000000000002,1,3,High,High,Long,8,High,1.824771265797733e-7,Low,3
5,2,Male,42,8,Sales,No,2,No,22000,17.3,2.83547,0.97053,NA,No,Unmarried,1,3,3,0,0,1,0,-1,-1," $ (1,000.00)",28,Yes,No,AMEX,4,9,1513,No,6,10.05,13.3,No,0,0,Yes,No,0,0,No,No,No,No,Yes,Yes,Yes,Yes,No,17,No,No,No,No,No,13.3,2.216666666666667,10.05,4,1,Low,Low,Short,1,Low,0.9999652901518354,High,1
3,1,Male,51,14,Service,No,11,No,66000,4.1,0.368016,2.337984,NA,No,Married,4,4,2,1,1,0,3,Own,Domestic," $ 36,600.00 ",26,No,Yes,AMEX,9,11,10477.1,Yes,15,11.850000000000001,79.3,No,0,0,No,No,0,0,No,No,No,No,Yes,No,No,No,Yes,26,Yes,No,No,No,No,79.3,5.286666666666666,11.850000000000001,1,2,Low,High,Short,3,Low,0.969792437933449,High,3
1,1,Male,27,20,Sales,No,0,No,14000,15,0.3402,1.7598,NA,No,Unmarried,1,3,0,2,0,0,1,Own,Foreign," $ 6,100.00 ",23,Yes,No,AMEX,9,10,2533,No,38,36.15,449.05,No,0,0,No,No,0,0,Yes,No,No,No,No,No,No,No,No,21,Yes,Yes,Yes,No,Yes,449.05,11.817105263157895,36.15,1,4,Low,Low,Short,1,Low,0.9898450292165294,High,1
1,1,Female,34,11,Labor,Yes,5,No,32000,12.3,0.350304,3.585696,NA,No,Married,2,0,0,0,0,1,4,Own,Domestic," $ 18,500.00 ",27,No,Yes,Visa,4,7,1235.5,No,10,15.6,40.2,No,0,0,Yes,Yes,34.55,316.75,No,No,Yes,No,Yes,Yes,Yes,Yes,No,18,No,No,Yes,No,No,356.95,35.695,50.15,6,3,Low,Low,Short,1,Low,0.9995379370109762,High,1
2,2,Female,20,15,Labor,No,0,No,24000,5.9,0.227976,1.188024,NA,No,Unmarried,1,0,0,0,0,1,2,Own,Domestic," $ 10,500.00 ",21,No,No,Disc,2,10,2117.9,Yes,6,13.950000000000001,30.85,Yes,39.25,217.8,No,Yes,22.75,129.45000000000002,Yes,No,No,4,No,No,No,No,Yes,24,Yes,Yes,Yes,Yes,No,378.1,63.01666666666667,75.95,3,5,High,Low,Short,5,Low,0.9976780408414527,High,1
